2019-09-01,1
2019-09-02,2
2019-09-03,1
2019-09-04,1
2019-09-05,1
2019-09-06,2
2019-09-07,2
2019-09-08,2
2019-09-09,2
2019-09-10,2
2019-09-11,1
2019-09-12,1
2019-09-13,1
2019-09-14,1
2019-09-15,2
2019-09-16,2
2019-09-17,1
2019-09-18,1
2019-09-19,1
2019-09-20,2
2019-09-21,2
2019-09-22,1
2019-09-23,2
2019-09-24,2
2019-09-25,2
2019-09-26,1
2019-09-27,1
2019-09-28,2
2019-09-29,2
2019-09-30,2
2019-10-01,1
2019-10-02,1
2019-10-03,1
2019-10-04,2
2019-10-05,1
2019-10-06,1
2019-10-07,2
2019-10-08,2
2019-10-09,2
2019-10-10,2
2019-10-11,2
2019-10-12,2
2019-10-13,1
2019-10-14,1
2019-10-15,2
2019-10-16,2
2019-10-17,2
2019-10-18,1
2019-10-19,2
2019-10-20,2
2019-10-21,1
2019-10-22,1
2019-10-23,1
2019-10-24,1
2019-10-25,2
2019-10-26,2
2019-10-27,2
2019-10-28,1
2019-10-29,1
2019-10-30,1
2019-10-31,1
2019-11-01,1
2019-11-02,2
2019-11-03,2
2019-11-04,2
2019-11-05,1
2019-11-06,1
2019-11-07,2
2019-11-08,2
2019-11-09,2
2019-11-10,2
2019-11-11,1
2019-11-12,2
2019-11-13,2
2019-11-14,2
2019-11-15,2
2019-11-16,1
2019-11-17,2
2019-11-18,1
2019-11-19,2
2019-11-20,1
2019-11-21,1
2019-11-22,1
2019-11-23,1
2019-11-24,1
2019-11-25,1
2019-11-26,2
2019-11-27,1
2019-11-28,1
2019-11-29,2
2019-11-30,2
2019-12-01,2
2019-12-02,2
2019-12-03,2
2019-12-04,1
2019-12-05,1
2019-12-06,2
2019-12-07,1
2019-12-08,1
2019-12-09,1
2019-12-10,2
2019-12-11,2
2019-12-12,2
2019-12-13,2
2019-12-14,2
2019-12-15,2
2019-12-16,1
2019-12-17,1
2019-12-18,1
2019-12-19,1
2019-12-20,1
