2019-09-01,00:00:23,-196
2019-09-01,00:05:23,771
2019-09-01,00:10:24,757
2019-09-01,00:15:25,-284
2019-09-01,00:20:25,470
2019-09-01,00:25:25,636
2019-09-01,00:30:26,-85
2019-09-01,00:35:26,730
2019-09-01,00:40:27,946
2019-09-01,00:45:29,-328
2019-09-01,00:50:28,-139
2019-09-01,00:55:29,-232
2019-09-01,01:00:30,-96
2019-09-01,01:05:30,-210
2019-09-01,01:10:31,82
2019-09-01,01:15:32,-156
2019-09-01,01:20:32,-78
2019-09-01,01:25:32,-144
2019-09-01,01:30:34,-410
2019-09-01,01:35:33,-37
2019-09-01,01:40:34,-17
2019-09-01,01:45:34,56
2019-09-01,01:50:36,-117
2019-09-01,01:55:36,13
2019-09-01,02:00:36,0
2019-09-01,02:05:38,326
2019-09-01,02:10:39,25
2019-09-01,02:15:39,-16
2019-09-01,02:20:40,-202
2019-09-01,02:25:41,126
2019-09-01,02:30:40,-100
2019-09-01,02:35:42,-153
2019-09-01,02:40:43,-152
2019-09-01,02:45:43,50
2019-09-01,02:50:44,206
2019-09-01,02:55:45,1701
2019-09-01,03:00:45,1187
2019-09-01,03:05:46,-93
2019-09-01,03:10:47,-47
2019-09-01,03:15:47,2110
2019-09-01,03:20:47,62
2019-09-01,03:25:49,427
2019-09-01,03:30:50,-48
2019-09-01,03:35:50,-169
2019-09-01,03:40:50,-240
2019-09-01,03:45:51,18
2019-09-01,03:50:52,1205
2019-09-01,03:55:53,-11
2019-09-01,04:00:53,-10
2019-09-01,04:05:54,-261
2019-09-01,04:10:54,-191
2019-09-01,04:15:54,-393
2019-09-01,04:20:54,-283
2019-09-01,04:25:56,-363
2019-09-01,04:30:56,-155
2019-09-01,04:35:57,-363
2019-09-01,04:40:58,601
2019-09-01,04:45:58,601
2019-09-01,04:50:59,116
2019-09-01,04:55:59,1006
2019-09-01,05:01:01,-133
2019-09-01,05:06:00,-179
2019-09-01,05:11:02,620
2019-09-01,05:16:02,-57
2019-09-01,05:21:02,6421
2019-09-01,05:26:07,16783
2019-09-01,05:31:11,-2127
2019-09-01,05:36:13,-5367
2019-09-01,05:41:18,-1432
2019-09-01,05:46:21,-1235
2019-09-01,05:51:25,-1576
2019-09-01,05:56:28,-2538
2019-09-01,06:01:32,-1891
2019-09-01,06:06:35,-992
2019-09-01,06:11:38,-5754
2019-09-01,06:16:43,-4688
2019-09-01,06:21:47,-7022
2019-09-01,06:26:47,-4753
2019-09-01,06:31:48,-14773
2019-09-01,06:36:48,-12395
2019-09-01,06:41:49,-5916
2019-09-01,06:46:49,-3973
2019-09-01,06:51:50,-4272
2019-09-01,06:56:51,-6725
2019-09-01,07:01:51,-9746
2019-09-01,07:06:51,-7017
2019-09-01,07:11:52,-441
2019-09-01,07:16:52,-216
2019-09-01,07:21:53,11890
2019-09-01,07:26:53,5167
2019-09-01,07:31:55,6102
2019-09-01,07:36:55,9533
2019-09-01,07:41:55,3183
2019-09-01,07:46:56,-5855
2019-09-01,07:51:56,-5066
2019-09-01,07:56:57,-696
2019-09-01,08:01:57,-490
2019-09-01,08:06:59,-603
2019-09-01,08:11:59,-472
2019-09-01,08:17:00,-290
2019-09-01,08:22:01,-355
2019-09-01,08:27:01,-372
2019-09-01,08:32:01,-598
2019-09-01,08:37:02,-465
2019-09-01,08:42:03,-497
2019-09-01,08:47:03,-595
2019-09-01,08:52:03,-600
2019-09-01,08:57:05,-602
2019-09-01,09:02:06,-599
2019-09-01,09:07:06,-598
2019-09-01,09:12:07,-598
2019-09-01,09:17:07,-598
2019-09-01,09:22:08,-598
2019-09-01,09:27:08,-525
2019-09-01,09:32:09,-601
2019-09-01,09:37:10,-600
2019-09-01,09:42:10,-600
2019-09-01,09:47:11,-602
2019-09-01,09:52:12,-600
2019-09-01,09:57:12,-600
2019-09-01,10:02:12,-602
2019-09-01,10:07:13,-600
2019-09-01,10:12:14,-599
2019-09-01,10:17:14,-599
2019-09-01,10:22:16,-602
2019-09-01,10:27:16,-595
2019-09-01,10:32:16,-599
2019-09-01,10:37:17,-599
2019-09-01,10:42:18,-599
2019-09-01,10:47:19,-602
2019-09-01,10:52:19,-600
2019-09-01,10:57:20,-599
2019-09-01,11:02:21,-598
2019-09-01,11:07:21,-585
2019-09-01,11:12:22,-498
2019-09-01,11:17:23,-580
2019-09-01,11:22:24,-276
2019-09-01,11:27:24,-595
2019-09-01,11:32:25,-200
2019-09-01,11:37:25,-431
